"time" "k1_ipm" "k2_ipm" "h1_average" "h2_average"
1620 5.22284907012055e-08 5.73448927626008e-08 -0.061854898 -0.048762352
1680 5.17657650513267e-08 5.67484854652426e-08 -0.063098534 -0.050057303
1740 5.13141018713955e-08 5.61596603034846e-08 -0.064344522 -0.051354566
1800 5.0882873558412e-08 5.55906231686502e-08 -0.065592508 -0.05265328
1860 5.04511845667219e-08 5.50335809357953e-08 -0.066842233 -0.053953126
1920 5.00197226639512e-08 5.4486473769884e-08 -0.06809349 -0.055253937
1980 4.96135584176959e-08 5.39570178790235e-08 -0.069346107 -0.056555599
2040 4.92055673077921e-08 5.34388928872163e-08 -0.070599937 -0.057858026
2100 4.88034360093121e-08 5.29353673134332e-08 -0.071854858 -0.059161143
2160 4.8414582602828e-08 5.24406798424025e-08 -0.073110762 -0.060464886
2220 4.80216285896454e-08 5.19539065633344e-08 -0.07436756 -0.061769202
2280 4.76485458444133e-08 5.1487403561497e-08 -0.075625172 -0.063074042
2340 4.72782735091871e-08 5.10226750994835e-08 -0.076883528 -0.064379366
2400 4.69103955042626e-08 5.05678415399446e-08 -0.07814257 -0.065685136
2460 4.65523985547046e-08 5.01264643637753e-08 -0.079402245 -0.06699132
2520 4.61959577002346e-08 4.96852563103747e-08 -0.080662506 -0.06829789
2580 4.58485111886303e-08 4.92605060689273e-08 -0.081923312 -0.06960482
2640 4.55096080609092e-08 4.88473593028663e-08 -0.083184627 -0.070912086
2700 4.51788358548801e-08 4.84411988461801e-08 -0.084446417 -0.072219669
2760 4.48408808194633e-08 4.80376310830269e-08 -0.085708654 -0.073527549
2820 4.4510624026805e-08 4.76403797013703e-08 -0.086971311 -0.074835709
2880 4.41950748595912e-08 4.72530298351681e-08 -0.088234363 -0.076144134
2940 4.71678244593918e-08 5.04366194838638e-08 -0.08949779 -0.07745281
3000 5.34603487925482e-08 5.69627399521745e-08 -0.090951115 -0.078954385
3060 4.98782265236253e-08 5.30371543129457e-08 -0.092568654 -0.08047485
3120 4.28905788517917e-08 4.56645111735844e-08 -0.093776766 -0.081689743
3180 4.25736118359324e-08 4.5335661220974e-08 -0.094987345 -0.082947517
3240 4.22703648939044e-08 4.49983780495989e-08 -0.096204707 -0.084222436
3300 4.19900546947494e-08 4.46668270328798e-08 -0.097428145 -0.085505686
3360 4.17208806233367e-08 4.43453800547777e-08 -0.098656807 -0.08679378
3420 4.14449924730857e-08 4.40194552887423e-08 -0.099890011 -0.088085188
3480 4.11773913629808e-08 4.36975464953452e-08 -0.1011272 -0.08937915
3540 4.09196932809651e-08 4.33882119090621e-08 -0.10236788 -0.090675221
3600 4.06579152986106e-08 4.30787306098115e-08 -0.10361167 -0.091973105
3660 4.03978753089482e-08 4.27746783237605e-08 -0.1048582 -0.093272573
3720 4.01384247449756e-08 4.24712031833912e-08 -0.10610716 -0.09457344
3780 3.98915440918805e-08 4.21740866681757e-08 -0.10735828 -0.095875548
3840 3.96430257661223e-08 4.18856392668184e-08 -0.10861133 -0.097178763
3900 3.93920735034586e-08 4.1594749187193e-08 -0.10986609 -0.098482964
3960 3.9150674604267e-08 4.13074516308969e-08 -0.11112239 -0.099788049
4020 3.89053310705638e-08 4.10263794146969e-08 -0.11238005 -0.10109392
4080 3.86681376821048e-08 4.07541103955747e-08 -0.11363895 -0.10240051
4140 3.84322765863724e-08 4.04802234764397e-08 -0.11489894 -0.10370774
4200 3.81971700586134e-08 4.02076153260106e-08 -0.11615993 -0.10501554
4260 3.79685017409679e-08 3.99422941717833e-08 -0.1174218 -0.10632386
4320 3.77398410155313e-08 3.96806058002399e-08 -0.11868448 -0.10763265
4380 3.75168876697632e-08 3.94221717758753e-08 -0.11994789 -0.10894186
4440 3.72992563356132e-08 3.91698049348345e-08 -0.12121196 -0.11025146
4500 3.70748152158229e-08 3.89170371847257e-08 -0.12247662 -0.11156141
4560 3.68552489925201e-08 3.86667216154742e-08 -0.12374182 -0.11287168
4620 3.66460911856779e-08 3.84246908812407e-08 -0.12500751 -0.11418224
4680 3.64296381326493e-08 3.81786323241104e-08 -0.12627366 -0.11549306
4740 3.6217361469569e-08 3.79404451322812e-08 -0.12754021 -0.11680413
4800 3.60147683239046e-08 3.77068605994694e-08 -0.12880713 -0.11811541
4860 3.58102883149212e-08 3.74717900379134e-08 -0.13007439 -0.1194269
4920 3.56038387380994e-08 3.72410202112959e-08 -0.13134197 -0.12073858
4980 3.54009466351701e-08 3.70144060374556e-08 -0.13260983 -0.12205042
5040 3.52015057354518e-08 3.67888923508774e-08 -0.13387796 -0.12336243
5100 3.50053513059778e-08 3.65643875784422e-08 -0.13514633 -0.12467458
5160 3.48123457479774e-08 3.63464941862158e-08 -0.13641492 -0.12598686
5220 3.46223972741141e-08 3.61322080749054e-08 -0.13768372 -0.12729927
5280 3.44353972353305e-08 3.59214112117744e-08 -0.13895271 -0.12861179
5340 3.42458991971749e-08 3.57084537289995e-08 -0.14022187 -0.12992442
5400 3.40539069880363e-08 3.54933427870796e-08 -0.1414912 -0.13123715
5460 3.38699891696788e-08 3.52897438917471e-08 -0.14276068 -0.13254997
5520 3.369398468144e-08 3.50892600845306e-08 -0.1440303 -0.13386287
5580 3.35101218564363e-08 3.48837155465327e-08 -0.14530005 -0.13517585
5640 3.33288336189773e-08 3.4683883991045e-08 -0.14656992 -0.13648891
5700 3.31551517493864e-08 3.44869799095522e-08 -0.1478399 -0.13780203
5760 3.29787340427387e-08 3.42902830983473e-08 -0.14910999 -0.13911522
5820 3.28097797886228e-08 3.41016374076374e-08 -0.15038017 -0.14042846
5880 3.26380411467482e-08 3.39104487193737e-08 -0.15165044 -0.14174176
5940 3.24635488640008e-08 3.37167547454394e-08 -0.1529208 -0.14305512
6000 3.22962996879085e-08 3.35308785359153e-08 -0.15419124 -0.14436852
6060 3.21312071378384e-08 3.33475422872186e-08 -0.15546175 -0.14568196
6120 3.19682303143726e-08 3.31641404206215e-08 -0.15673233 -0.14699545
6180 3.1802401538526e-08 3.29831923530828e-08 -0.15800297 -0.14830897
6240 3.16386184842636e-08 3.28021542947463e-08 -0.15927367 -0.14962253
6300 3.14817133085938e-08 3.26259764838184e-08 -0.16054443 -0.15093612
6360 3.13267390816375e-08 3.2454549017849e-08 -0.16181524 -0.15224975
6420 3.11688641391089e-08 3.22804181036641e-08 -0.16308609 -0.1535634
6480 3.10081533864537e-08 3.21060747796327e-08 -0.164357 -0.15487708
6540 3.08540740296282e-08 3.19339407163069e-08 -0.16562794 -0.15619078
6600 3.07064961836088e-08 3.17687833654137e-08 -0.16689892 -0.15750451
6660 3.05513076119266e-08 3.16008826335482e-08 -0.16816993 -0.15881826
6720 3.0402573551077e-08 3.14374383980571e-08 -0.16944098 -0.16013202
6780 3.02555648538078e-08 3.12736228662622e-08 -0.17071206 -0.16144581
6840 3.01056427277216e-08 3.11094498066776e-08 -0.17198316 -0.16275961
6900 2.99619776121875e-08 3.09519496221259e-08 -0.1732543 -0.16407342
6960 2.98199368270316e-08 3.07939971931912e-08 -0.17452545 -0.16538725
7020 2.96749887786781e-08 3.06379066773078e-08 -0.17579662 -0.16670108
7080 2.95316599545869e-08 3.04790509767616e-08 -0.17706782 -0.16801493
7140 2.93943650394302e-08 3.03266284052903e-08 -0.17833903 -0.16932879
7200 2.9254100630958e-08 3.01759861898567e-08 -0.17961026 -0.17064266
7260 2.91109421784966e-08 3.00202934763427e-08 -0.1808815 -0.17195653
7320 2.89737602263886e-08 2.98708659234538e-08 -0.18215275 -0.17327041
7380 2.8842431915117e-08 2.97253758158654e-08 -0.18342401 -0.17458429
7440 2.87081327986152e-08 2.95770782061809e-08 -0.18469528 -0.17589818
7500 2.85752524533769e-08 2.94326471059163e-08 -0.18596656 -0.17721207
7560 2.8443781772142e-08 2.92876267448295e-08 -0.18723784 -0.17852596
7620 2.83094006361444e-08 2.91420266306801e-08 -0.18850912 -0.17983985
7680 2.81806662410247e-08 2.90023749474617e-08 -0.18978041 -0.18115374
7740 2.805326379097e-08 2.88642410535833e-08 -0.1910517 -0.18246763
7800 2.7922953502449e-08 2.87233035757397e-08 -0.19232299 -0.18378152
7860 2.77939646815807e-08 2.85817477819546e-08 -0.19359428 -0.18509541
7920 2.767046648234e-08 2.84480917973126e-08 -0.19486557 -0.18640929
7980 2.75482327153648e-08 2.83137335499305e-08 -0.19613685 -0.18772317
8040 2.7418949686843e-08 2.81765716800084e-08 -0.19740813 -0.18903704
8100 2.72991558875619e-08 2.80450437370575e-08 -0.19867941 -0.19035091
8160 2.71805467706765e-08 2.79128088329268e-08 -0.19995067 -0.19166477
8220 2.70549808002203e-08 2.77798655725736e-08 -0.20122193 -0.19297862
8280 2.69346982057028e-08 2.76503563748128e-08 -0.20249318 -0.19429247
8340 2.68195984021521e-08 2.75242282181018e-08 -0.20376442 -0.19560631
8400 2.67016001111992e-08 2.73973403660209e-08 -0.20503565 -0.19692014
8460 2.65847405939551e-08 2.72697046158334e-08 -0.20630687 -0.19823395
8520 2.64689920781794e-08 2.71433590977745e-08 -0.20757808 -0.19954776
